,ts_code,name,industry
462,001256.SZ,炜冈科技,轻工机械
463,001258.SZ,立新能源,新型电力
464,001259.SZ,利仁科技,家用电器
465,001260.SZ,坤泰股份,汽车配件
466,001266.SZ,宏英智能,电器仪表
467,001267.SZ,汇绿生态,建筑工程
468,001268.SZ,联合精密,机械基件
469,001269.SZ,欧晶科技,矿物制品
470,001270.SZ,铖昌科技,半导体
471,001278.SZ,一彬科技,汽车配件
472,001282.SZ,三联锻造,汽车配件
473,001283.SZ,豪鹏科技,电气设备
474,001286.SZ,陕西能源,火力发电
475,001287.SZ,中电港,元器件
476,001288.SZ,运机集团,专用机械
477,001289.SZ,龙源电力,新型电力
478,001296.SZ,长江材料,其他建材
479,001298.SZ,好上好,元器件
480,001299.SZ,美能能源,供气供热
481,001300.SZ,三柏硕,文教休闲
482,001301.SZ,尚太科技,电气设备
483,001308.SZ,康冠科技,元器件
484,001309.SZ,德明利,半导体
485,001311.SZ,多利科技,汽车配件
486,001313.SZ,粤海饲料,饲料
487,001314.SZ,亿道信息,元器件
488,001316.SZ,润贝航科,批发业
489,001317.SZ,三羊马,仓储物流
490,001318.SZ,阳光乳业,乳制品
491,001319.SZ,铭科精技,汽车配件
492,001322.SZ,箭牌家居,家居用品
493,001323.SZ,慕思股份,家居用品
494,001324.SZ,长青科技,运输设备
495,001328.SZ,登康口腔,日用化工
496,001330.SZ,博纳影业,影视音像
497,001331.SZ,胜通能源,仓储物流
498,001332.SZ,锡装股份,专用机械
499,001333.SZ,光华股份,化工原料
500,001336.SZ,楚环科技,专用机械
501,001337.SZ,四川黄金,黄金
502,001338.SZ,永顺泰,啤酒
503,001339.SZ,智微智能,IT设备
504,001360.SZ,南矿集团,工程机械
505,001366.SZ,播恩集团,饲料
506,001367.SZ,海森药业,化学制药
507,001368.SZ,通达创智,文教休闲
508,001373.SZ,翔腾新材,元器件
509,001380.SZ,华纬科技,汽车配件
510,001696.SZ,宗申动力,摩托车
511,001872.SZ,招商港口,港口
512,001896.SZ,豫能控股,火力发电
513,001914.SZ,招商积余,房产服务
514,001965.SZ,招商公路,路桥
515,001979.SZ,招商蛇口,全国地产
516,002001.SZ,新和成,化学制药
517,002002.SZ,鸿达兴业,化工原料
518,002003.SZ,伟星股份,服饰
519,002004.SZ,华邦健康,农药化肥
520,002005.SZ,ST德豪,家用电器
521,002006.SZ,精工科技,专用机械
522,002007.SZ,华兰生物,生物制药
523,002008.SZ,大族激光,专用机械
524,002009.SZ,天奇股份,工程机械
525,002010.SZ,传化智联,仓储物流
526,002011.SZ,盾安环境,家用电器
527,002012.SZ,凯恩股份,造纸
528,002014.SZ,永新股份,塑料
529,002015.SZ,协鑫能科,新型电力
530,002016.SZ,世荣兆业,区域地产
531,002017.SZ,东信和平,通信设备
532,002019.SZ,亿帆医药,化学制药
533,002020.SZ,京新药业,化学制药
534,002021.SZ,*ST中捷,纺织机械
535,002022.SZ,科华生物,医疗保健
536,002023.SZ,海特高新,航空
537,002024.SZ,ST易购,电器连锁
538,002025.SZ,航天电器,元器件
539,002026.SZ,山东威达,机械基件
540,002027.SZ,分众传媒,广告包装
541,002028.SZ,思源电气,电气设备
542,002029.SZ,七匹狼,服饰
543,002030.SZ,达安基因,医疗保健
544,002031.SZ,巨轮智能,汽车配件
545,002032.SZ,苏泊尔,家用电器
546,002033.SZ,丽江股份,旅游景点
547,002034.SZ,旺能环境,环境保护
548,002035.SZ,华帝股份,家用电器
549,002036.SZ,联创电子,元器件
550,002037.SZ,保利联合,化工原料
551,002038.SZ,双鹭药业,生物制药
552,002039.SZ,黔源电力,水力发电
553,002040.SZ,南京港,港口
554,002041.SZ,登海种业,种植业
555,002042.SZ,华孚时尚,纺织
556,002043.SZ,兔宝宝,其他建材
557,002044.SZ,美年健康,医疗保健
558,002045.SZ,国光电器,元器件
559,002046.SZ,国机精工,机械基件
560,002047.SZ,宝鹰股份,装修装饰
561,002048.SZ,宁波华翔,汽车配件
562,002049.SZ,紫光国微,半导体
563,002050.SZ,三花智控,家用电器
564,002051.SZ,中工国际,建筑工程
565,002052.SZ,ST同洲,电气设备
566,002053.SZ,云南能投,食品
567,002054.SZ,德美化工,染料涂料
568,002055.SZ,得润电子,元器件
569,002056.SZ,横店东磁,矿物制品
570,002057.SZ,中钢天源,矿物制品
571,002058.SZ,威尔泰,电器仪表
572,002059.SZ,云南旅游,旅游景点
573,002060.SZ,粤水电,建筑工程
574,002061.SZ,浙江交科,建筑工程
575,002062.SZ,宏润建设,建筑工程
576,002063.SZ,远光软件,软件服务
577,002064.SZ,华峰化学,化纤
578,002065.SZ,东华软件,软件服务
579,002066.SZ,瑞泰科技,其他建材
580,002067.SZ,景兴纸业,造纸
581,002068.SZ,黑猫股份,化工原料
582,002069.SZ,獐子岛,渔业
583,002072.SZ,凯瑞德,商贸代理
584,002073.SZ,软控股份,专用机械
585,002074.SZ,国轩高科,电气设备
586,002075.SZ,沙钢股份,特种钢
587,002076.SZ,星光股份,家用电器
588,002077.SZ,大港股份,半导体
589,002078.SZ,太阳纸业,造纸
590,002079.SZ,苏州固锝,半导体
591,002080.SZ,中材科技,玻璃
592,002081.SZ,金螳螂,装修装饰
593,002082.SZ,万邦德,中成药
594,002083.SZ,孚日股份,纺织
595,002084.SZ,海鸥住工,家居用品
596,002085.SZ,万丰奥威,汽车配件
597,002086.SZ,*ST东洋,医疗保健
598,002087.SZ,*ST新纺,纺织
599,002088.SZ,鲁阳节能,矿物制品
600,002089.SZ,*ST新海,通信设备
601,002090.SZ,金智科技,软件服务
602,002091.SZ,江苏国泰,商贸代理
603,002092.SZ,中泰化学,化工原料
604,002093.SZ,国脉科技,通信设备
605,002094.SZ,青岛金王,日用化工
606,002095.SZ,生意宝,互联网
607,002096.SZ,易普力,化工原料
608,002097.SZ,山河智能,工程机械
609,002098.SZ,浔兴股份,服饰
610,002099.SZ,海翔药业,化学制药
611,002100.SZ,天康生物,饲料
612,002101.SZ,广东鸿图,汽车配件
613,002102.SZ,冠福股份,化学制药
614,002103.SZ,广博股份,文教休闲
615,002104.SZ,恒宝股份,通信设备
616,002105.SZ,信隆健康,摩托车
617,002106.SZ,莱宝高科,元器件
618,002107.SZ,沃华医药,中成药
619,002108.SZ,沧州明珠,塑料
620,002109.SZ,兴化股份,化工原料
621,002110.SZ,三钢闽光,普钢
622,002111.SZ,威海广泰,航空
623,002112.SZ,三变科技,电气设备
624,002114.SZ,罗平锌电,铅锌
625,002115.SZ,三维通信,互联网
626,002116.SZ,中国海诚,建筑工程
627,002117.SZ,东港股份,广告包装
628,002119.SZ,康强电子,半导体
629,002120.SZ,韵达股份,仓储物流
630,002121.SZ,科陆电子,电器仪表
631,002122.SZ,汇洲智能,机械基件
632,002123.SZ,梦网科技,互联网
633,002124.SZ,天邦食品,农业综合
634,002125.SZ,湘潭电化,化工原料
635,002126.SZ,银轮股份,汽车配件
636,002127.SZ,南极电商,互联网
637,002128.SZ,电投能源,铝
638,002129.SZ,TCL中环,电气设备
639,002130.SZ,沃尔核材,电气设备
640,002131.SZ,利欧股份,互联网
641,002132.SZ,恒星科技,钢加工
642,002133.SZ,广宇集团,全国地产
643,002134.SZ,天津普林,元器件
644,002135.SZ,东南网架,钢加工
645,002136.SZ,安纳达,化工原料
646,002137.SZ,实益达,元器件
647,002138.SZ,顺络电子,元器件
648,002139.SZ,拓邦股份,元器件
649,002140.SZ,东华科技,建筑工程
650,002141.SZ,贤丰控股,农业综合
651,002142.SZ,宁波银行,银行
652,002144.SZ,宏达高科,纺织
653,002145.SZ,中核钛白,化工原料
